Date,Open,High,Low,Close,Volume
9/18/2018,88.71,90.09,88.71,89.72,5820686
9/19/2018,90.1,90.7399,88.2382,89.31,5495100
9/20/2018,89.84,90.78,89.185,90.6,6562065
9/21/2018,91.05,92,90.42,90.62,25379398
9/24/2018,89.95,90.26,88.26,89.62,8303272
9/25/2018,89.62,90.38,89.2748,90.04,5953397
9/26/2018,90.34,90.93,89.7,89.85,5936191
9/27/2018,90.61,90.7,88.86,88.99,6996564
9/28/2018,88.79,89.045,87.6,87.84,7920916
10/1/2018,88.13,88.8,87.4,87.55,9260577
10/2/2018,87.27,87.35,85.83,86.68,6488198
10/3/2018,87.4,87.95,86.37,87.15,6625013
10/4/2018,86.39,86.5,83.54,84.34,9078341
10/5/2018,84.21,84.84,82.32,83.18,10735779
10/8/2018,82.62,82.89,78.65,80.55,16872156
10/9/2018,80.65,81.84,79.44,80.03,9332600
10/10/2018,79.61,79.91,75.32,75.45,16920253
10/11/2018,76.81,77.785,74.66,75.9,21010646
10/12/2018,79.12,79.6,77.79,79.03,14131406
10/15/2018,78.88,79.14,77.22,77.23,8481098
10/16/2018,78.85,80.91,78.46,80.61,10059964
10/17/2018,81.19,81.39,79.5,80.09,10022637
10/18/2018,80.17,80.44,77.36,77.48,19748527
10/19/2018,83.75,86.17,82.92,84.78,34211905
10/22/2018,84.86,86.23,83.5711,85.43,11254755
10/23/2018,83.2,87.8,82.99,87.57,14753761
10/24/2018,87.04,87.69,83.01,83.09,14754551
10/25/2018,84.24,86.51,83.56,85.96,9267622
10/26/2018,83.22,85.66,82.18,83.37,13969414
10/29/2018,84.74,85.24,78.99,81.15,12918820
10/30/2018,80.33,81.96,79.42,80.9,13100808
10/31/2018,82.37,85.35,82.3,84.19,11191843
11/1/2018,84.18,85.15,83.57,85.04,5952606
11/2/2018,85.46,86.104,82.65,83.51,7014351
11/5/2018,83.33,84.25,82.25,84.05,4622289
11/6/2018,84.1,85.31,83.72,84.69,4662485
11/7/2018,85.86,88.49,85.73,88.23,8672013
11/8/2018,87.7,89.06,87.68,89.04,7539282
11/9/2018,88.45,88.45,85.55,86.76,9105908
11/12/2018,86.17,86.65,83.3,83.78,6278185
11/13/2018,84.12,85.229,83.16,83.78,4731289
11/14/2018,84.98,85.14,83.07,84.05,6678468
11/15/2018,83.79,87.09,83.6,86.74,10001248
11/16/2018,86,86.72,84.83,85.06,7580987
11/19/2018,84.77,85.19,79.9,80.13,11455289
11/20/2018,77,79.08,75.47,77.76,14202099
11/21/2018,79.09,79.89,77.635,79.12,8522932
11/23/2018,78.09,79.71,77.9,77.95,3066853
11/26/2018,78.97,80.98,78.86,80.86,9292903
11/27/2018,81,82,80.205,81.97,5335151
11/28/2018,82.27,86,81.9496,85.98,9341953
11/29/2018,85.37,85.675,83.79,84.26,6516560
11/30/2018,84.39,85.86,83.66,85.81,11273280
12/3/2018,87.29,88.84,87.19,87.98,10822485
12/4/2018,87.24,88.47,84.02,84.19,8251093
12/6/2018,81.82,85.86,81.29,85.82,10197740
12/7/2018,84.96,85.99,81.97,82.77,8419488
12/10/2018,83.25,85.5,82.76,84.93,9348154
12/11/2018,86.01,86.9,84.56,85.51,8159070
12/12/2018,86.84,88.46,86.5,86.5,10306780
12/13/2018,87.73,88.71,86.41,87.56,8877266
12/14/2018,86.38,87.94,85.42,85.92,6869115
12/17/2018,85.69,86.3,83.3508,84.1,8368108
12/18/2018,84.7,86.37,84.62,85.51,9573004
12/19/2018,85.63,87.8,82.93,84.03,11258380
12/20/2018,83.78,84.87,80.82,82.44,12532882
12/21/2018,82.81,83.77,77.69,78.14,17704936
12/24/2018,77.48,79.3199,76.7,77.06,6800483
12/26/2018,77.7,82.8,77.65,82.8,10994728
12/27/2018,81.33,84.36,80.24,84.31,7849070
12/28/2018,85,85.23,82.34,83.26,6850418
12/31/2018,84.24,84.48,82.55,84.09,7247755
1/2/2019,82.38,86.2,82.24,85.75,10146197
1/3/2019,84.36,84.75,81.91,82.09,9650676
1/4/2019,83.71,86.91,83.37,86.27,9234825
1/7/2019,86.42,87.55,86.02,86.93,11094140
1/8/2019,88.11,88.895,87.69,88.7,8307637
1/9/2019,88.81,90.315,88.5,89.55,9578323
1/10/2019,89.1,90.79,87.918,90.7,7478123
1/11/2019,90.11,91.1442,90.1,90.65,7398181
1/14/2019,89.96,90.81,89.55,90.43,6084735
1/15/2019,90.64,91.91,90.19,91.6,10377929
1/16/2019,91.72,92.35,90.21,90.55,8475025
1/17/2019,90.25,90.87,89.81,90.4,10254547
1/18/2019,91.35,91.44,89.78,91.12,11958388
1/22/2019,90.33,90.97,89.09,89.94,7890273
1/23/2019,90.74,91.17,89.57,90.5,5596051
1/24/2019,90.67,92.99,90.55,92.2,9749072
1/25/2019,93.05,94.58,92.69,94.28,11664736
1/28/2019,93.3,93.42,90.69,92.3,7361144
1/29/2019,92.33,92.85,90.57,91.12,6399936
1/30/2019,92.02,93.34,90.9,92.42,11622819
1/31/2019,89.02,90.09,86.62,88.76,23729880
2/1/2019,88.36,90.5,88.25,90.01,10514645
2/4/2019,89.88,92.12,89.71,91.66,7084477
2/5/2019,91.91,92.35,91.36,92.27,5591260
2/6/2019,90.8,92.29,90.19,92.25,5939421
2/7/2019,91.11,91.71,90.01,90.85,7283827
2/8/2019,90.02,91.91,90,91.87,7642107
2/11/2019,92.25,93.75,92.15,92.69,6455938
2/12/2019,93.44,94.51,93.2,94.38,7497035
2/13/2019,94.59,96.04,93.844,94.01,8577942
2/14/2019,93.65,94.99,93.1,94.42,6579170
2/15/2019,95,95.43,94.45,94.91,6080181
2/19/2019,94.45,95.3,94.06,95.02,8092379
2/20/2019,95,95.72,93.98,94.73,8154094
2/21/2019,94.72,95.51,94.33,94.96,6410003
2/22/2019,95.24,96,95.07,95.98,4898247
2/25/2019,96.07,97.3038,96,96.7,7470730
2/26/2019,96.34,96.82,95.53,96.59,5906401
2/27/2019,96.11,98.04,95.93,97.86,5565391
2/28/2019,97.66,98.525,97.08,98.07,6151847
3/1/2019,98.92,99.45,98.34,98.8,5434436
3/4/2019,98.03,98.5,95.34,96.57,7855772
3/5/2019,96.65,97.14,96.15,96.53,6321889
3/6/2019,96.52,97.28,95.91,96.46,3226530
3/7/2019,96.17,96.75,95.3,96.21,6170276
3/8/2019,95.04,95.77,94.51,95.69,4578084
3/11/2019,96.01,97.57,95.9539,97.45,5387479
3/12/2019,98,98.08,96.9,97.5,5624849
3/13/2019,98.2,100.5901,98.14,99.31,9356601
3/14/2019,99.46,99.67,98.93,99.03,5414658
3/15/2019,99.4,101.2599,99.33,100.73,10960863
3/18/2019,101.21,101.83,99.37,100.27,6454037
3/19/2019,100.6,101.685,100.6,101.54,6965119
3/20/2019,101.45,103.05,100.84,102.31,6462929
3/21/2019,102.15,104.56,102.085,104.15,7216748
3/22/2019,103.87,104,101.25,101.27,7194999
3/25/2019,100.94,102.18,100.51,101.55,5117698
3/26/2019,102.34,103.285,101.75,103.15,4498014
3/27/2019,103.2,104.17,101.74,103.07,5450156
3/28/2019,103.45,104.01,102.67,103.86,4466587
3/29/2019,104.52,104.7,103.46,103.84,5625544
4/1/2019,104.99,105.76,103.85,105.55,6157204
4/2/2019,105.76,105.76,104.66,105.23,4177507
4/3/2019,105.91,105.97,104.49,104.69,5442449
4/4/2019,104.7,104.97,102.65,104.46,7996830
4/5/2019,104.84,105.8,104.62,105.73,8573757
4/8/2019,105.66,107,104.67,106.57,9261995
4/9/2019,106.06,107.51,105.83,106.93,7217072
4/10/2019,107.15,107.77,106.39,107.51,6561918
4/11/2019,107.51,107.74,105.91,106.46,7681003
4/12/2019,107.03,108.54,106.41,108.48,6998048
4/15/2019,108.58,109,107.31,108.14,4480406
4/16/2019,108.8,108.8,107.58,108.2,3766267
4/17/2019,107.805,108.86,107.25,108.81,5354021
4/18/2019,108.36,108.45,105.08,107.36,10220713
4/22/2019,106.79,107.18,106.02,106.81,6408498
4/23/2019,107.1,107.51,106.4401,106.9,8564219
4/24/2019,107.11,108.39,106.4196,107.22,9553117
4/25/2019,108.52,110.92,108.52,110.22,10959443
4/26/2019,109.72,110.57,107.88,110.56,7683160
4/29/2019,110.7,113,110.44,112.44,6989300
4/30/2019,112.44,113.22,111.2,112.77,6489380
5/1/2019,113.21,113.69,110.92,110.94,5444708
5/2/2019,110.6,111.16,108.91,109.7,5272425
5/3/2019,110.57,112.12,110.25,111.96,4660901
5/6/2019,109.44,111.12,108.58,110.85,4722565
5/7/2019,110.17,110.17,107.64,108.95,6178708
5/8/2019,108.58,109.88,108.15,109.07,4118033
5/9/2019,108.1,110.1325,107.2476,109.73,4657418
5/10/2019,109.22,110.68,107.46,110.41,3750890
5/13/2019,107.6,108.63,106.52,106.83,5657900
5/14/2019,107.56,110.4,107.35,109.09,4559662
5/15/2019,108.59,111.93,108.31,111.5,5315281
5/16/2019,111.2,114.66,111.16,113.87,6031779
5/17/2019,113.07,114.25,112.2421,112.8,4512583
5/20/2019,111.97,113.31,111.23,112.15,3631596
5/21/2019,112.67,113.12,111.6855,112.43,4001417
5/22/2019,112.28,113.96,112.21,112.47,3092002
5/23/2019,111.47,111.71,109.06,109.9,7183631
5/24/2019,110.84,111.24,109.46,109.85,4832620
5/28/2019,110.57,113.14,110.5,111.74,6568269
5/29/2019,110.75,110.97,109.31,110.08,8166166
5/30/2019,110.64,111.57,110.09,111.41,3871752
5/31/2019,110.33,110.8,108.74,109.75,4913455
6/3/2019,111.09,111.09,103.96,105.52,11261210
6/4/2019,106.83,108.83,105.78,108.73,7280429
6/5/2019,110.04,110.88,109.46,110.77,6220170
6/6/2019,111.11,112.04,110.27,111.78,4743958
6/7/2019,112.3,115.14,112.08,114.02,5916410
6/10/2019,115.1,117.35,114.85,115.62,6483553
6/11/2019,116.97,117.45,113.295,114.6,5038942
6/12/2019,114.59,114.89,113.4702,114.5,3914615
6/13/2019,114.82,115.82,114.59,115.72,4089424
6/14/2019,115.91,116.73,115.27,116.17,4241994
6/17/2019,116.58,117.335,116.37,117.16,4621594
6/18/2019,118.6,118.646,115.84,115.98,6793322
6/19/2019,116,117.34,115.22,117.14,5165966
6/20/2019,118.85,119.95,117.84,118.79,5437516
6/21/2019,116.08,117.28,115.97,116.21,10651525
6/24/2019,116.51,116.7731,115.66,116.5,3369867
6/25/2019,116.58,116.96,113.39,114.44,5395305
6/26/2019,115.7,116.38,114.115,114.15,4637342
6/27/2019,114.51,114.87,113.08,113.67,5139346
6/28/2019,114.24,114.62,113.33,114.46,6679793
7/1/2019,116.72,116.75,114.35,115.03,5709683
7/2/2019,115.18,116.2,114.58,116.17,4155388
7/3/2019,116.88,117.72,116.06,117.68,3288929
7/5/2019,116.54,117.4,114.69,117.16,3801715
7/8/2019,116.34,117.225,115.1401,116.95,4983572
7/9/2019,116.37,118.62,116.25,118.37,4739005
7/10/2019,119.11,120.2,118.78,119.64,5879661
7/11/2019,120.17,120.75,119.24,120.65,4999657
7/12/2019,120.92,121,119.31,120.12,4540257
7/15/2019,120.77,121.04,119.8,120.9,3721345
7/16/2019,121.1,121.48,119.53,119.71,4006838
7/17/2019,119.65,119.99,118.8,118.81,4627478
7/18/2019,118.99,120.8,118.63,119.87,4440672
7/19/2019,120.74,121.36,118.6,118.63,4916241
7/22/2019,118.99,119.2098,118.12,118.69,5677409
7/23/2019,119.42,120.27,118.695,120.22,5016048
7/24/2019,120,121.33,118.93,121.3,8969808
7/25/2019,116.75,117.55,113.23,115.12,19417195
7/26/2019,115.71,116.35,114.34,115.49,7995933
7/29/2019,113.5,114.28,111.22,111.45,13820205
7/30/2019,110.79,112.29,108.77,112.04,8456015
7/31/2019,112.2,112.3,109.43,110.4,10096159
8/1/2019,110.45,112.4496,109.665,110.8,9436130
8/2/2019,109.47,109.65,105.83,107.09,10466910
8/5/2019,103.76,105.39,102.41,103.6,11745393
8/6/2019,105,106,104.48,105.03,7740468
8/7/2019,104.06,107.16,103.3,106.63,7622015
8/8/2019,107.35,108.14,106.08,106.79,7814988
8/9/2019,106.4,106.52,104.45,104.82,7777343
8/12/2019,104.01,104.3804,102.21,102.72,7897875
8/13/2019,103.39,106.7,102.6801,106.04,9909591
8/14/2019,104.17,105.13,102.44,103.27,9538834
8/15/2019,103.9,105.79,103.13,104.95,7049233
8/16/2019,106.08,106.61,105.55,106.16,5989174
8/19/2019,108,108.44,106.83,107.67,5721282
8/20/2019,107.91,108.58,107.02,107.37,4359576
8/21/2019,108.54,110.02,108.3975,109.82,5416562
8/22/2019,110.08,110.29,107.65,108.77,3864359
8/23/2019,108.93,110.14,105.51,106.04,7457331
8/26/2019,107.11,107.83,106.29,107.66,3669041
8/27/2019,108.39,108.72,106.95,107.45,4938397
8/28/2019,106.71,107.63,105.35,107.47,3256235
8/29/2019,108.96,109.76,108.78,109.21,3931033
8/30/2019,110.13,110.97,108.54,109.05,3958699
9/3/2019,107.92,108.86,106.46,106.75,4038074
9/4/2019,107.75,109.235,107.29,108.73,3691497
9/5/2019,110,111.63,109.51,111.46,5348782
9/6/2019,111.66,111.67,109.62,110.05,4676035
9/9/2019,110.62,110.77,103.9,105.43,10958990
9/10/2019,104.77,104.95,101.31,103.05,13428039
9/11/2019,104.15,104.48,103.11,104.02,7006282
9/12/2019,105.71,107.915,105.49,107.1,11585351
9/13/2019,106.66,107.29,105.25,107,8390194
9/16/2019,106.13,108.01,105.99,106.52,5215635
9/17/2019,106.81,107.8945,106.46,107.5,4115933
9/18/2019,107.78,107.8,103.73,105.6,6685977
9/19/2019,105.64,107.02,105.6,106.12,5247013
9/20/2019,104.71,105.46,103.91,104.64,10707881
9/23/2019,104.73,105.32,104.35,105.11,3396306
9/24/2019,105.41,106.1,102.73,103.69,6444130
9/25/2019,103.34,104.4626,101.54,104.14,5523936
9/26/2019,104.43,104.87,103.22,104.55,4780793
9/27/2019,104.87,105.17,101.1,102.2,7189838
9/30/2019,102.68,104.07,101.48,103.59,7512787
10/1/2019,104,104.6409,102.23,102.53,5746364
10/2/2019,101.81,101.83,99.3601,99.73,8011727
10/3/2019,99.54,101.31,98.61,101.03,5343141
10/4/2019,101.84,102.98,100.84,102.79,5534673
10/7/2019,102.11,102.607,101.52,101.62,3829056
10/8/2019,100.85,101.15,99.25,99.33,7398352
10/9/2019,99.44,100.69,99.385,99.89,5038850
10/10/2019,99.4,101,99.4,100.54,4561588
10/11/2019,101.78,103.96,101.47,101.58,4788311
10/14/2019,101.59,102.35,101.3674,101.75,3817790
10/15/2019,102.01,103.66,101.9,103.59,4629287
10/16/2019,103,103.23,101.9,103.09,4363705
10/17/2019,103.89,104.34,102.84,103.63,4019239
10/18/2019,103.92,104.32,100.75,101.22,7261238
10/21/2019,102.36,102.73,100.465,101.44,6917672
10/22/2019,101.36,101.95,97.115,97.36,11384723
10/23/2019,97.42,97.6,94.77,96.64,17459600
10/24/2019,106.075,106.98,103.19,104.91,23817914
10/25/2019,104.46,107.49,104.42,107.19,12070921
10/28/2019,107.99,108.46,106.45,106.6,7004191
10/29/2019,106.84,107.02,104.695,105,5420866
10/30/2019,105.29,106.6,103.96,106.5,4204919
10/31/2019,106.47,106.5,103.26,104.1,7200513
11/1/2019,104.7,105.3,103.93,104.98,5489839
11/4/2019,105.72,105.76,102.605,102.81,5818361
11/5/2019,103.05,103.25,100.285,100.99,9236156
11/6/2019,101.2,101.34,100.17,100.63,7332216
11/7/2019,100.94,101.72,100.29,100.47,9088435
11/8/2019,100.025,101.71,99.6,101.42,5451433
11/11/2019,101.04,103.04,100.66,102.67,5391050
11/12/2019,102.97,103.09,100.92,102.03,6715166
11/13/2019,102,103.6,101.63,102.12,5329359
11/14/2019,101.87,103.85,101.37,103.73,4980344
11/15/2019,104.35,104.48,103.105,104.2,5640361
11/18/2019,103.85,104.2,102.98,103.66,4831599
11/19/2019,104.08,106.17,104.0076,104.95,7960162
11/20/2019,105.22,105.38,103.12,104.09,5962021
11/21/2019,103,104.47,102.15,102.55,7525120
11/22/2019,102.92,103.23,100.72,101.77,6448811
11/25/2019,102.38,104.57,102.06,104.45,8338769
11/26/2019,104.8,106.78,104.5,106.2,13150051
11/27/2019,106.89,108.24,106.8,107.75,7555124
11/29/2019,107.97,108.39,106.9,108.01,4439511
12/2/2019,107.96,108.49,104.65,106.21,7185204
12/3/2019,105,106.13,104.51,105.59,9062795
12/4/2019,106.29,106.29,104.655,105,7849569
12/5/2019,105.45,105.5,104.11,104.59,5637586
12/6/2019,104.79,105.3435,104.16,104.34,7018440
12/9/2019,104.6,105.1,103.6,103.78,5681147
12/10/2019,103.77,104.13,103.26,103.62,5316693
12/11/2019,103.72,105.87,103.5902,105.51,5782111
12/12/2019,105.21,106.2199,104.13,105.67,6380433
12/13/2019,105.83,107.905,105.52,107.65,7001186
12/16/2019,108.4,109.828,108.35,109.57,8466723
12/17/2019,109.57,109.6,107.67,108.46,8168386
12/18/2019,108.86,109.47,107.76,107.83,6478284
12/19/2019,107.8,108.94,107.46,108.88,6590055
12/20/2019,109.28,109.62,108.13,108.75,9831071
12/23/2019,109.05,109.45,108.38,108.61,4659074
12/24/2019,108.64,109.26,108.38,108.69,1679950
12/26/2019,109.13,109.75,108.57,109.75,4050317
12/27/2019,110.1665,110.18,108.9,109.4,3390317
12/30/2019,109.52,109.6,107.73,107.97,3769715
12/31/2019,107.54,108.45,107.2,108.17,4080618
1/2/2020,109.47,111.21,109.275,110.75,7419283
1/3/2020,109.49,110.42,108.76,108.76,7099931
1/6/2020,107.57,110.22,107.44,110.17,6766627
1/7/2020,111.5,111.56,109.53,109.67,6916836
1/8/2020,110.4,112.64,109.82,111.82,8295189
1/9/2020,112.99,113.56,111.59,112.57,5950181
1/10/2020,113.64,113.71,112.27,112.93,6965689
1/13/2020,113.98,115.88,113.86,115.28,9652847
1/14/2020,115.515,115.59,114.12,114.64,7182707
1/15/2020,115.14,115.95,114.61,114.85,5955223
1/16/2020,115.92,116,114.85,115.4,4793197
1/17/2020,116.45,116.7,115.47,116.04,9730424
1/21/2020,115.31,116.39,115.11,116.15,8746199
1/22/2020,116.73,117.45,115.47,115.5,5305308
1/23/2020,117.4,117.9398,115.8,117.89,8533941
1/24/2020,118.45,119.6,116.51,116.98,7123969
1/27/2020,113.63,115.98,112.31,115.24,7002260
1/28/2020,115.83,117.21,114.7154,116.52,6432992
1/29/2020,117.47,117.53,115.16,116.66,9255661
1/30/2020,112.79,117.2,112.42,117.12,13653347
1/31/2020,116.75,117.32,113.15,113.89,9467156
2/3/2020,114.3,117.24,114.05,116.51,8236584
2/4/2020,118.04,120.34,117.3,120.08,7396789
2/5/2020,121.2,122.19,118.891,119.72,7595345
2/6/2020,120.09,120.6,119.47,119.89,4020286
2/7/2020,119.6,119.67,118.41,118.88,4166262
2/10/2020,118.56,120.15,118.5,120.06,4868408
2/11/2020,120.76,121,118.4,118.84,4677447
2/12/2020,118.85,119.91,117.87,118.56,6482283
2/13/2020,118.04,121.1,117.8,120.51,6066472
2/14/2020,120.89,123,120.8,122.99,5769897
2/18/2020,122.58,122.99,121.68,122.27,5085799
2/19/2020,122.63,124.45,122.3,123.91,4878649
2/20/2020,123.86,124.31,120.4,122.43,7212911
2/21/2020,121.72,121.85,118.53,119.49,5896230
2/24/2020,114.29,116.79,113.52,116.44,10139308
2/25/2020,115.67,116.415,109.33,109.66,13636134
2/26/2020,109.81,112.63,108.6,109.11,10306927
2/27/2020,106.3,112.05,106.3,107.84,15461904
2/28/2020,104.26,108.73,103.72,107.99,17215994
3/2/2020,107.46,113.05,106.53,112.86,13366965
3/3/2020,112.82,114.56,108.26,109.76,11912275
3/4/2020,112.04,115.39,110.62,115.3,8245198
3/5/2020,112.03,114.9,111.24,112.18,7671457
3/6/2020,107.95,111.57,107.58,110.89,8524269
3/9/2020,102.72,106.99,99.71,101.63,12458891
3/10/2020,105.3,109.74,103.17,109.74,11748492
3/11/2020,106.65,107.75,101.98,103.9,10761017
3/12/2020,96.56,104.78,94.5,96.96,20114391
3/13/2020,100.52,110.6,99.78,110.15,19170559
3/16/2020,94,103.155,91.23,92.72,16204938
3/17/2020,94.5,101.08,90.52,97.87,17969391
3/18/2020,91.855,95.1,86.15,91.46,16073257
3/19/2020,91.56,98.06,87.04,93.69,12181578
3/20/2020,95.64,96.23,86.21,86.68,14874413
3/23/2020,86.29,88.15,82.07,85.26,12969720
3/24/2020,89.4,98,89.4,97.29,13936472
3/25/2020,97.43,100.42,95.27,95.71,11814366
3/26/2020,96.31,100.93,95.635,100.63,9452863
3/27/2020,97,97.105,93.06,93.48,11311959
3/30/2020,95.5,98.2599,94.37,97.03,8948597
3/31/2020,96.38,99.4314,94.87,95.74,9882034
4/1/2020,92.72,94.67,90.38,91.38,9628376
4/2/2020,91.1,94.6799,90.92,93.52,7077181
4/3/2020,92.79,92.95,89.88,92.39,7699462
4/6/2020,97.8,102.5,96.26,101.67,11998987
4/7/2020,105.255,106.23,99.9,100.28,10291513
4/8/2020,101.61,105.505,100.75,105.06,9385890
4/9/2020,105.63,108.7,104.78,105.84,10894921
4/13/2020,104.85,106.29,102.34,105.98,7716160
4/14/2020,109,110.98,107.93,109.785,8417858
4/15/2020,107.46,109.09,106.42,107.95,7821377
4/16/2020,109.5,109.525,106.57,108.31,9575624
4/17/2020,110.3,112.12,110.054,111.85,11069777
4/20/2020,110.9,114.3,110.025,112.17,10730723
4/21/2020,111.12,112.85,107.41,107.54,11736608
4/22/2020,110.29,116,109.91,115.19,12879850
4/23/2020,115.94,118.385,115,115.24,7563183
4/24/2020,115.47,120.47,115.4,120.18,10680406
4/27/2020,121.25,122.387,120.055,120.53,6678219
4/28/2020,121.66,122,115.9029,116.14,9192284
4/29/2020,119.3,124.03,118.645,123.58,9891526
4/30/2020,121.35,123.45,120.62,123,7569776
5/1/2020,119.85,122.7,119.43,120.61,5613832
5/4/2020,121.26,124.18,120.31,123.66,7674351
5/5/2020,124.94,127.94,124.85,125.43,9241882
5/6/2020,127.05,129.59,126.12,128.31,14031243
5/7/2020,139.92,147.2,139.28,146.29,35487924
5/8/2020,143.25,146.4,142.11,144.96,13169422
5/11/2020,142.96,145.27,142.18,143.96,10273368
